time;dz;Bias;T-B;Topo
307942.4;782778900;-66.5;-180947100;470672700
308531.2;781213400;-66.5;-180915900;469107200
309120;779647800;-66.5;-180798000;467541600
309708.8;778082200;-66.5;-180868800;465976000
310297.6;776516700;-66.5;-180955000;464410500
310886.4;774951100;-66.5;-180884000;462844900
311475.2;773385600;-66.5;-180890500;461279400
312064;771820000;-66.5;-180862100;459713800
312652.8;770254400;-66.5;-180783500;458148200
313241.6;768688900;-66.5;-180782400;456582700
313830.4;767123300;-66.5;-180760300;455017100
314419.2;765557800;-66.5;-180760100;453451500
315008;763992200;-66.5;-180831800;451886000
315596.8;762426700;-66.5;-180768700;450320500
316185.6;760861100;-66.5;-180762300;448754900
316774.4;759295500;-66.5;-180823400;447189300
317363.2;757730000;-66.5;-180847800;445623800
317952;756164400;-66.5;-180717800;444058200
318540.8;754598900;-66.5;-180705000;442492700
319129.6;753033300;-66.5;-180726000;440927100
319718.4;751467700;-66.5;-180762100;439361500
320307.2;749902200;-66.5;-180704000;437796000
320896;748336600;-66.5;-180693600;436230400
321484.8;746771100;-66.5;-180726700;434664900
322073.6;745205500;-66.5;-180643400;433099300
322662.4;743640000;-66.5;-180589000;431533800
323251.2;742074400;-66.5;-180625400;429968200
323840;740508800;-66.5;-180625600;428402600
324428.8;738943300;-66.5;-180593300;426837100
325017.6;737377700;-66.5;-180626000;425271500
325606.4;735812200;-66.5;-180559800;423706000
326195.2;734246600;-66.5;-180520000;422140400
326784;732681100;-66.5;-180546400;420574900
327372.8;731115500;-66.5;-180465800;419009300
327961.6;729549900;-66.5;-180512200;417443700
328550.4;727984400;-66.5;-180491900;415878200
329139.2;726418800;-66.5;-180514600;414312600
329728;724853300;-66.5;-180522600;412747100
330316.8;723287700;-66.5;-180521000;411181500
330905.6;721722100;-66.5;-180400500;409615900
331494.4;720156600;-66.5;-180425500;408050400
332083.2;718591100;-66.5;-180399400;406484800
332672;717025500;-66.5;-180451000;404919300
333260.8;715459900;-66.5;-180336000;403353700
333849.6;713894400;-66.5;-180345800;401788200
334438.4;712328800;-66.5;-180338800;400222600
335027.2;710763200;-66.5;-180388300;398657000
335616;709197700;-66.5;-180411800;397091500
336204.8;707632100;-66.5;-180379200;395525900
336793.6;706066600;-66.5;-180308800;393960400
337382.4;704501000;-66.5;-180316300;392394800
337971.2;702935400;-66.5;-180207800;390829200
338560;701369900;-66.5;-180230200;389263700
339148.8;699804400;-66.5;-180330200;387698100
339737.6;698238800;-66.5;-180271100;386132600
340326.4;696673200;-66.5;-180213000;384567000
340915.2;695107700;-66.5;-180221700;383001500
341504;693542100;-66.5;-180235700;381435900
342092.8;691976600;-66.5;-180252600;379870300
342681.6;690411000;-66.5;-180199400;378304800
343270.4;688845400;-66.5;-180127600;376739200
343859.2;687279900;-66.5;-180162100;375173700
344448;685714300;-66.5;-180154900;373608100
345036.8;684148800;-66.5;-180110500;372042600
345625.6;682583200;-66.5;-180092600;370477000
346214.4;681017700;-66.5;-180065700;368911400
346803.2;679452100;-66.5;-180124200;367345900
347392;677886500;-66.5;-180030600;365780300
347980.8;676321000;-66.5;-180101800;364214800
348569.6;674755400;-66.5;-180082400;362649200
349158.4;673189900;-66.5;-180034300;361083600
349747.2;671624300;-66.5;-179995800;359518100
350336;670058800;-66.5;-180015600;357952500
350924.8;668493200;-66.5;-179970100;356387000
351513.6;666927600;-66.5;-179989300;354821400
352102.4;665362100;-66.5;-179977000;353255900
352691.2;663796500;-66.5;-179935900;351690300
353280;662231000;-66.5;-179995300;350124700
353868.8;660665400;-66.5;-179967100;348559200
354457.6;659099800;-66.5;-179980800;346993600
355046.4;657534300;-66.5;-179934200;345428100
355635.2;655968700;-66.5;-179910400;343862500
356224;654403200;-66.5;-179952200;342296900
356812.8;652837600;-66.5;-179930200;340731400
357401.6;651272100;-66.5;-180014000;339165900
