Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
2280.556981	839	2280.556981	nan	
2281.574041	839	2281.574041	nan	
2282.590935	839	2282.590935	nan	
2283.607664	839	2283.607664	nan	
2284.624228	841	2284.624228	nan	
2285.640627	839	2285.640627	nan	
2286.656861	839	2286.656861	nan	
2287.67293	839	2287.67293	nan	
2288.688834	840	2288.688834	nan	
2289.704573	838	2289.704573	nan	
2290.720147	839	2290.720147	nan	
2291.735555	838	2291.735555	nan	
2292.750799	839	2292.750799	nan	
2293.765879	838	2293.765879	nan	
2294.780793	839	2294.780793	nan	
2295.795542	839	2295.795542	nan	
2296.810127	839	2296.810127	nan	
2297.824547	836	2297.824547	nan	
2298.838802	838	2298.838802	nan	
2299.852892	839	2299.852892	nan	
2300.866818	838	2300.866818	nan	
2301.880579	840	2301.880579	nan	
2302.894176	839	2302.894176	nan	
2303.907607	839	2303.907607	nan	
2304.920875	839	2304.920875	nan	
2305.933977	839	2305.933977	nan	
2306.946916	840	2306.946916	nan	
2307.95969	839	2307.95969	nan	
2308.972299	838	2308.972299	nan	
2309.984744	840	2309.984744	nan	
2310.997024	839	2310.997024	nan	
2312.009141	839	2312.009141	nan	
2313.021092	839	2313.021092	nan	
2314.03288	840	2314.03288	nan	
2315.044503	840	2315.044503	nan	
2316.055962	839	2316.055962	nan	
2317.067257	839	2317.067257	nan	
2318.078388	840	2318.078388	nan	
2319.089354	840	2319.089354	nan	
2320.100156	839	2320.100156	nan	
2321.110795	839	2321.110795	nan	
2322.121269	840	2322.121269	nan	
2323.131579	839	2323.131579	nan	
2324.141725	839	2324.141725	nan	
2325.151707	839	2325.151707	nan	
2326.161525	837	2326.161525	nan	
2327.17118	839	2327.17118	nan	
2328.18067	837	2328.18067	nan	
2329.189996	839	2329.189996	nan	
2330.199159	839	2330.199159	nan	
2331.208158	838	2331.208158	nan	
2332.216993	840	2332.216993	nan	
2333.225664	839	2333.225664	nan	
2334.234172	839	2334.234172	nan	
2335.242516	840	2335.242516	nan	
2336.250696	838	2336.250696	nan	
2337.258712	839	2337.258712	nan	
2338.266565	838	2338.266565	nan	
2339.274255	838	2339.274255	nan	
2340.28178	839	2340.28178	nan	
2341.289143	838	2341.289143	nan	
2342.296341	840	2342.296341	nan	
2343.303377	841	2343.303377	nan	
2344.310249	839	2344.310249	nan	
2345.316957	837	2345.316957	nan	
2346.323502	840	2346.323502	nan	
2347.329884	840	2347.329884	nan	
2348.336102	839	2348.336102	nan	
2349.342157	839	2349.342157	nan	
2350.348049	841	2350.348049	nan	
2351.353778	839	2351.353778	nan	
2352.359343	838	2352.359343	nan	
2353.364745	838	2353.364745	nan	
2354.369985	839	2354.369985	nan	
2355.37506	841	2355.37506	nan	
2356.379973	839	2356.379973	nan	
2357.384723	839	2357.384723	nan	
2358.38931	839	2358.38931	nan	
2359.393734	838	2359.393734	nan	
2360.397994	839	2360.397994	nan	
2361.402092	838	2361.402092	nan	
2362.406027	837	2362.406027	nan	
2363.409799	838	2363.409799	nan	
2364.413408	839	2364.413408	nan	
2365.416854	839	2365.416854	nan	
2366.420138	841	2366.420138	nan	
2367.423259	839	2367.423259	nan	
2368.426217	840	2368.426217	nan	
2369.429012	840	2369.429012	nan	
2370.431644	839	2370.431644	nan	
2371.434114	839	2371.434114	nan	
2372.436421	839	2372.436421	nan	
2373.438566	838	2373.438566	nan	
2374.440548	839	2374.440548	nan	
2375.442368	838	2375.442368	nan	
2376.444025	839	2376.444025	nan	
2377.445519	840	2377.445519	nan	
2378.446851	840	2378.446851	nan	
2379.448021	839	2379.448021	nan	
2380.449028	839	2380.449028	nan	
2381.449873	840	2381.449873	nan	
2382.450555	839	2382.450555	nan	
2383.451075	839	2383.451075	nan	
2384.451433	840	2384.451433	nan	
2385.451629	839	2385.451629	nan	
2386.451662	840	2386.451662	nan	
2387.451533	840	2387.451533	nan	
2388.451242	839	2388.451242	nan	
2389.450789	838	2389.450789	nan	
2390.450173	839	2390.450173	nan	
2391.449396	838	2391.449396	nan	
2392.448456	839	2392.448456	nan	
2393.447355	838	2393.447355	nan	
2394.446091	839	2394.446091	nan	
2395.444666	839	2395.444666	nan	
2396.443078	839	2396.443078	nan	
