Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
1783.733611	837	1783.733611	nan	
1784.831649	837	1784.831649	nan	
1785.929508	839	1785.929508	nan	
1787.027187	838	1787.027187	nan	
1788.124686	839	1788.124686	nan	
1789.222006	839	1789.222006	nan	
1790.319147	838	1790.319147	nan	
1791.416108	836	1791.416108	nan	
1792.51289	838	1792.51289	nan	
1793.609492	840	1793.609492	nan	
1794.705915	839	1794.705915	nan	
1795.802159	840	1795.802159	nan	
1796.898223	839	1796.898223	nan	
1797.994108	840	1797.994108	nan	
1799.089814	839	1799.089814	nan	
1800.185341	838	1800.185341	nan	
1801.280688	841	1801.280688	nan	
1802.375857	838	1802.375857	nan	
1803.470846	838	1803.470846	nan	
1804.565656	838	1804.565656	nan	
1805.660288	839	1805.660288	nan	
1806.75474	839	1806.75474	nan	
1807.849013	840	1807.849013	nan	
1808.943108	839	1808.943108	nan	
1810.037023	839	1810.037023	nan	
1811.13076	838	1811.13076	nan	
1812.224317	838	1812.224317	nan	
1813.317696	839	1813.317696	nan	
1814.410897	840	1814.410897	nan	
1815.503918	838	1815.503918	nan	
1816.596761	838	1816.596761	nan	
1817.689425	838	1817.689425	nan	
1818.78191	839	1818.78191	nan	
1819.874217	838	1819.874217	nan	
1820.966345	839	1820.966345	nan	
1822.058295	837	1822.058295	nan	
1823.150066	837	1823.150066	nan	
1824.241659	839	1824.241659	nan	
1825.333073	839	1825.333073	nan	
1826.424309	836	1826.424309	nan	
1827.515367	838	1827.515367	nan	
1828.606246	838	1828.606246	nan	
1829.696947	839	1829.696947	nan	
1830.787469	839	1830.787469	nan	
1831.877813	839	1831.877813	nan	
1832.96798	838	1832.96798	nan	
1834.057967	838	1834.057967	nan	
1835.147777	838	1835.147777	nan	
1836.237409	838	1836.237409	nan	
1837.326862	838	1837.326862	nan	
1838.416137	837	1838.416137	nan	
1839.505235	837	1839.505235	nan	
1840.594154	840	1840.594154	nan	
1841.682896	839	1841.682896	nan	
1842.771459	840	1842.771459	nan	
1843.859845	840	1843.859845	nan	
1844.948052	837	1844.948052	nan	
1846.036082	840	1846.036082	nan	
1847.123934	838	1847.123934	nan	
1848.211608	840	1848.211608	nan	
1849.299105	839	1849.299105	nan	
1850.386424	838	1850.386424	nan	
1851.473565	839	1851.473565	nan	
1852.560528	838	1852.560528	nan	
1853.647314	838	1853.647314	nan	
1854.733922	839	1854.733922	nan	
1855.820353	840	1855.820353	nan	
1856.906606	839	1856.906606	nan	
1857.992682	839	1857.992682	nan	
1859.07858	839	1859.07858	nan	
1860.164301	839	1860.164301	nan	
1861.249844	838	1861.249844	nan	
1862.33521	837	1862.33521	nan	
1863.420399	840	1863.420399	nan	
1864.50541	840	1864.50541	nan	
1865.590244	839	1865.590244	nan	
1866.674901	838	1866.674901	nan	
1867.759381	839	1867.759381	nan	
1868.843683	840	1868.843683	nan	
1869.927809	839	1869.927809	nan	
1871.011757	837	1871.011757	nan	
1872.095528	839	1872.095528	nan	
1873.179122	838	1873.179122	nan	
1874.262539	836	1874.262539	nan	
1875.34578	838	1875.34578	nan	
1876.428843	836	1876.428843	nan	
1877.511729	838	1877.511729	nan	
1878.594438	838	1878.594438	nan	
1879.676971	839	1879.676971	nan	
1880.759327	838	1880.759327	nan	
1881.841505	839	1881.841505	nan	
1882.923508	840	1882.923508	nan	
1884.005333	838	1884.005333	nan	
1885.086982	839	1885.086982	nan	
1886.168454	839	1886.168454	nan	
1887.249749	838	1887.249749	nan	
1888.330868	840	1888.330868	nan	
1889.41181	839	1889.41181	nan	
1890.492576	837	1890.492576	nan	
1891.573165	840	1891.573165	nan	
1892.653578	840	1892.653578	nan	
1893.733814	839	1893.733814	nan	
1894.813874	839	1894.813874	nan	
1895.893757	839	1895.893757	nan	
1896.973464	840	1896.973464	nan	
1898.052995	837	1898.052995	nan	
1899.132349	839	1899.132349	nan	
1900.211528	838	1900.211528	nan	
1901.29053	839	1901.29053	nan	
1902.369355	838	1902.369355	nan	
1903.448005	837	1903.448005	nan	
1904.526479	840	1904.526479	nan	
1905.604776	838	1905.604776	nan	
1906.682897	837	1906.682897	nan	
1907.760843	838	1907.760843	nan	
1908.838612	839	1908.838612	nan	
1909.916205	839	1909.916205	nan	
1910.993623	839	1910.993623	nan	
1912.070864	838	1912.070864	nan	
1913.14793	838	1913.14793	nan	
1914.22482	837	1914.22482	nan	
1915.301533	839	1915.301533	nan	
1916.378072	838	1916.378072	nan	
1917.454434	837	1917.454434	nan	
1918.530621	837	1918.530621	nan	
1919.606632	840	1919.606632	nan	
1920.682467	838	1920.682467	nan	
1921.758127	840	1921.758127	nan	
1922.833611	838	1922.833611	nan	
